14335	5883	85	8255		000010001101
2047	14075	-8107	63		000010001110
12287	7931	-6059	2111		000010001111
-8193	-4357	14421	6207		000010010000
-1	-8453	14421	6207		000010010001
-12289	-4357	6229	-1985		000010010010
-2049	-10501	8277	63		000010010011
-10241	1787	8277	12351		000010010100
-2049	-6405	8277	12351		000010010101
-14337	1787	85	4159		000010010110
-1	-4357	-1963	6207		000010010111
-6145	1787	12373	63		000010011000
6143	-2309	12373	4159		000010011001
-6145	1787	4181	-8129		000010011010
4095	-4357	6229	-6081		000010011011
-4097	7931	6229	6207		000010011100
6143	1787	4181	8255		000010011101
-8193	7931	-6059	-1985		000010011110
4095	3835	-1963	-1985		000010011111
-2049	-6405	8277	4159		000010100000
6143	-10501	8277	4159		000010100001
-6145	-6405	85	-4033		000010100010
6143	-14597	85	-4033		000010100011
-2049	-2309	4181	8255		000010100100
12287	-4357	2133	10303		000010100101
-6145	-2309	-8107	63		000010100110
6143	-6405	-8107	4159		000010100111
4095	-261	10325	-6081		000010101000
12287	-4357	10325	-1985		000010101001
2047	1787	85	-12225		000010101010
12287	-4357	2133	-10177		000010101011
4095	7931	2133	2111		000010101100
14335	-2309	85	4159		000010101101
-1	7931	-10155	-6081		000010101110
12287	-261	-6059	-1985		000010101111
-6145	-10501	12373	63		000010110000
-1	-12549	10325	2111		000010110001
-10241	-10501	4181	-8129		000010110010
-2049	-14597	4181	-4033		000010110011
-10241	-6405	8277	4159		000010110100
2047	-10501	8277	8255		000010110101
-12289	-4357	-1963	-1985		000010110110
-2049	-10501	85	63		000010110111
-6145	-6405	12373	-8129		000010111000
6143	-10501	12373	-4033		000010111001
-4097	-4357	2133	-14273		000010111010
4095	-8453	2133	-10177		000010111011
-6145	1787	4181	63		000010111100
8191	-4357	6229	2111		000010111101
-6145	1787	-4011	-8129		000010111110
4095	-4357	-6059	-6081		000010111111
-4097	-4357	2133	14399		000011000000
6143	-6405	4181	12351		000011000001
-6145	-6405	-4011	8255		000011000010
6143	-10501	-4011	8255		000011000011
-2049	1787	-4011	16447		000011000100
6143	-2309	-4011	16447		000011000101
-2049	1787	-12203	12351		000011000110
4095	-4357	-10155	10303		000011000111
2047	1787	4181	8255		000011001000
12287	-4357	2133	6207		000011001001
-1	-261	-6059	-1985		000011001010
12287	-4357	-6059	2111		000011001011
-1	7931	-6059	14399		000011001100
10239	1787	-4011	12351		000011001101
-1	7931	-14251	6207		000011001110
10239	1787	-12203	8255		000011001111
-8193	-8453	6229	10303		000011010000
-1	-12549	6229	10303		000011010001
-14337	-10501	85	4159		000011010010
-4097	-16645	-1963	6207		000011010011
-8193	-261	-1963	14399		000011010100
-2049	-6405	4181	16447		000011010101
-12289	-4357	-6059	10303		000011010110
-2049	-10501	-8107	12351		000011010111
-6145	-2309	8277	4159		000011011000
4095	-8453	6229	6207		000011011001
-8193	-4357	-1963	-6081		000011011010
4095	-8453	-1963	-1985		000011011011
-6145	1787	85	12351		000011011100
6143	-2309	85	12351		000011011101
-8193	3835	-10155	6207		000011011110
4095	-4357	-10155	6207		000011011111
-4097	-12549	2133	6207		000011100000
6143	-14597	4181	8255		000011100001
-4097	-12549	-6059	2111		000011100010
6143	-14597	-4011	63		000011100011
-4097	-4357	-6059	14399		000011100100
6143	-10501	-4011	12351		000011100101
-2049	-6405	-12203	8255		000011100110
8191	-8453	-10155	6207		000011100111
4095	-8453	2133	2111		000011101000
14335	-10501	85	4159		000011101001
2047	-6405	-8107	-8129		000011101010
10239	-10501	-4011	-4033		000011101011
4095	-261	-10155	6207		000011101100
14335	-6405	-4011	8255		000011101101
2047	1787	-16299	63		000011101110
10239	-6405	-12203	4159		000011101111
-8193	-12549	6229	6207		000011110000
-2049	-14597	4181	8255		000011110001
-10241	-14597	85	63		000011110010
-1	-16645	-1963	2111		000011110011
-8193	-12549	2133	10303		000011110100
-1	-12549	-1963	10303		000011110101
-10241	-10501	-8107	4159		000011110110
-2049	-14597	-8107	4159		000011110111
-6145	-10501	4181	63		000011111000
6143	-14597	4181	63		000011111001
-6145	-10501	-4011	-8129		000011111010
2047	-14597	-4011	-4033		000011111011
-4097	-4357	-1963	6207		000011111100
8191	-8453	-1963	6207		000011111101
-6145	-6405	-12203	-4033		000011111110
6143	-10501	-12203	-4033		000011111111
-2049	9979	12373	4159		000100000000
8191	3835	10325	6207		000100000001
-6145	9979	4181	-4033		000100000010
6143	5883	4181	-4033		000100000011
-2049	14075	4181	8255		000100000100
8191	7931	6229	10303		000100000101
-4097	12027	-6059	2111		000100000110
6143	9979	-4011	4159		000100000111
2047	14075	8277	-4033		000100001000
12287	7931	10325	-1985		000100001001
-1	12027	2133	-10177		000100001010
12287	12027	2133	-6081		000100001011
4095	16123	2133	2111		000100001100
12287	12027	2133	2111		000100001101
-1	16123	-1963	-6081		000100001110
10239	14075	-4011	-4033		000100001111
-8193	3835	14421	-1985		000100010000
-1	-261	14421	2111		000100010001
-12289	3835	6229	-6081		000100010010
-2049	-2309	8277	-4033		000100010011
-6145	9979	8277	8255		000100010100
2047	5883	8277	12351		000100010101
-12289	12027	-1963	-1985		000100010110
-2049	5883	85	4159		000100010111
-2049	9979	12373	-4033		000100011000
4095	3835	14421	-6081		000100011001
-4097	7931	6229	-14273		000100011010
4095	3835	6229	-10177		000100011011
-4097	16123	6229	2111		000100011100
6143	9979	8277	4159		000100011101
-6145	14075	-4011	-8129		000100011110
4095	7931	-1963	-6081		000100011111
-1	3835	10325	-1985		000100100000
10239	-2309	12373	63		000100100001
-4097	-261	2133	-10177		000100100010
10239	-2309	4181	-8129		000100100011
-1	7931	2133	6207		000100100100
10239	1787	4181	4159		000100100101
-2049	5883	-8107	-4033		000100100110
6143	1787	-4011	63		000100100111
4095	7931	6229	-10177		000100101000
14335	5883	8277	-4033		000100101001
-1	7931	2133	-14273		000100101010
12287	3835	2133	-10177		000100101011
8191	12027	-1963	-1985		000100101100
16383	7931	2133	-1985		000100101101
4095	12027	-6059	-10177		000100101110
12287	7931	-6059	-6081		000100101111
-8193	-4357	14421	-6081		000100110000
-1	-8453	14421	-1985		000100110001
-8193	-4357	6229	-14273		000100110010
-1	-8453	6229	-10177		000100110011
-8193	3835	6229	2111		000100110100
-1	-4357	6229	6207		000100110101
-10241	1787	-4011	-8129		000100110110
